Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
Mathematics and Statistics,Louisiana,Off-Campus Other,Private,Male,FT,Athlete,17,S,2003,,114,110,2,2.4,2.6,4,1,1,2007,7,2007,
Biological and Biomedical Sciences,Illinois,Commuter,Other,Female,FT,Athlete,24,M,2005,,145,134,7,0.75,2.2,3,1,3,2009,9,2009,
Architecture and Related Services,American,On-Campus University Housing,None,Female,FT,RA,17,M,1996,,110,89,20,1.1,3.5,0,1,0,2000,0,2000,
Communications Technologies/technicians and Support Services,Connecticut,Off-Campus Other,None,Female,FT,Non-Athlete,20,M,1988,,13,2,10,,2.3,3,2,2,1992,92,1995,would be a valuable addition to any organization
Liberal Arts and Sciences Studies and Humanities,Puerto Rico,Off-Campus University Housing,Other,Male,FT,Non-Athlete,18,M,1996,,39,37,1,1.8,1.2,3,1,0,2000,0,2000,
Aviation,Virginia,On-Campus Dorm,Private,Female,FT,Non-Athlete,25,M,1988,,82,73,1,3.5,3.2,2,2,1,1992,92,1995,
Undeclared,Ohio,Commuter,None,Female,PT,Non-Athlete,25,M,1995,,75,40,11,2.7,3.7,3,2,2,1999,99,2003,
Mechanic and Repair Technologies/technicians,Mississippi,On-Campus Dorm,None,Female,PT,Athelete,22,S,2000,,68,11,40,1.1,3.8,1,1,3,2004,4,2004,careful attention to detail
Communications Technologies/technicians and Support Services,Georgia,Off-Campus Other,All Scholarship Types,Female,FT,Athlete,20,S,2005,,128,123,1,3.6,1.5,1,1,3,2009,9,2011,works well with oouthers
"Foreign Languages, Literatures, and Linguistics",Wyoming,Off-Campus Other,Private,Male,FT,Athlete,19,S,1996,,88,4,2,2.7,2.7,4,1,3,2000,0,2002,
Architecture and Related Services,Michigan,Off-Campus Other,None,Male,PT,Athlete,19,M,1999,,106,0,52,1.3,2.7,1,2,4,2003,3,2007,hope this information proves helpful
Aviation,Vermont,Off-Campus Other,Private,Female,FT,Athlete,22,M,1989,,76,57,6,3.1,1.9,3,1,1,1993,93,1994,
Computer and Information Sciences and Support Services,Kentucky,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,18,S,2004,,104,82,21,1.4,3.9,4,2,3,2008,8,2011,if I can further assist
Engineering Technologies and Engineering-Related Fields,Maine,Off-Campus Other,Private,Male,FT,Athlete,24,M,1986,,142,73,22,2.1,0.75,2,2,3,1990,90,1992,can offer only the highest recommendation for
Engineering Technologies and Engineering-Related Fields,Mississippi,On-Campus University Housing,None,Male,PT,RA,18,S,1986,,145,77,14,4,3.9,2,2,2,1990,90,1990,willing to take on new responsibilities
"Foreign Languages, Literatures, and Linguistics",Tennessee,On-Campus University Housing,Other,Male,FT,Athlete,25,M,1985,,83,19,52,1,3.3,4,2,1,1989,89,1992,
Legal Professions and Studies,Hawaii,Off-Campus University Housing,All Scholarship Types,Male,FT,Athlete,24,S,1986,,9,3,4,2.6,2.4,2,1,2,1990,90,1992,
Family and Consumer Sciences/human Sciences,Nevada,On-Campus Dorm,University,Female,PT,Non-Athlete,18,S,1985,,29,6,15,2.9,2.6,4,2,1,1989,89,1991,has always proved satisfactory
Military Technologies and Applied Sciences,Michigan,Off-Campus Other,University,Female,FT,Athelete,23,S,1985,,81,79,2,,4,3,1,1,1989,89,1993,
Education,Virgin Islands,Commuter,None,Male,FT,RA,22,M,1998,,114,51,29,3.3,3,3,1,0,2002,2,2004,
Communications Technologies/technicians and Support Services,Ohio,Off-Campus Other,None,Female,FT,Non-Athlete,25,S,1987,,9,3,2,1.2,1.9,4,2,2,1991,91,1995,is innovative and creative
Library Science,Guam,Commuter,All Scholarship Types,Male,PT,Athlete,21,S,2002,,115,97,7,2.7,2.1,2,1,1,2006,6,2008,
Architecture and Related Services,Colorado,Off-Campus University Housing,Private,Male,FT,RA,19,M,1985,,21,10,6,2.9,3.7,3,1,4,1989,89,1992,
Biological and Biomedical Sciences,Washington,On-Campus University Housing,Private,Female,PT,Athelete,17,S,1994,,27,26,1,,3.5,1,2,1,1998,98,2002,broad range of skills
Undeclared,Iowa,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,17,M,1994,,35,10,7,0.75,3.7,4,1,4,1998,98,2002,
Military Technologies and Applied Sciences,Georgia,Off-Campus Other,None,Female,FT,Athelete,22,M,1990,,4,4,0,3.5,4,3,1,4,1994,94,1995,Builds on knowledge
"Foreign Languages, Literatures, and Linguistics",Marshall Islands,Commuter,All Scholarship Types,Female,FT,RA,22,S,2005,,145,92,23,2.8,2.1,1,1,4,2009,9,2011,will be a credit to your
History,Massachusetts,Off-Campus Other,Private,Male,PT,RA,24,S,2003,,70,13,53,2.5,2.3,0,2,4,2007,7,2011,is innovative and creative
Engineering,Mississippi,Off-Campus Other,University,Female,FT,Non-Athlete,24,S,1985,,130,58,31,1,1.7,2,1,1,1989,89,1992,
"Area, Ethnic, Cultural, Gender, and Group Studies",North Carolina,On-Campus Dorm,University,Male,PT,Non-Athlete,22,M,1995,,64,25,20,1.5,2.2,1,2,3,1999,99,2001,am delighted to be called upon
Engineering,Michigan,On-Campus Dorm,Other,Male,FT,Athelete,24,M,1991,,36,26,8,2.5,3.6,2,1,2,1995,95,1999,
Architecture and Related Services,Massachusetts,Off-Campus Other,All Scholarship Types,Male,FT,Athlete,19,S,1988,,33,9,8,3.6,1.5,2,2,4,1992,92,1995,works efficiently and effectively
Family and Consumer Sciences/human Sciences,New Hampshire,On-Campus University Housing,Other,Male,PT,RA,20,M,1986,,86,65,3,1.8,1.8,3,1,4,1990,90,1991,have been his supervisor since
Engineering Technologies and Engineering-Related Fields,North Carolina,On-Campus University Housing,Other,Male,PT,Non-Athlete,20,S,1996,,147,51,90,3.8,2.6,4,1,4,2000,0,2004,is a pleasure to recommend
"Communication, Journalism, and Related Programs",Hawaii,Commuter,None,Female,FT,Athlete,23,M,1991,,127,53,36,3.7,2.1,3,2,0,1995,95,1997,
"Agriculture, Agriculture Operations, and Related Sciences",Wisconsin,On-Campus Dorm,University,Male,FT,Non-Athlete,25,M,2002,,113,100,9,1.5,1.7,1,1,1,2006,6,2009,"Hard working, hard worker"
Architecture and Related Services,Nevada,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,21,S,1998,,114,0,71,2.8,3.9,4,2,0,2002,2,2005,
Library Science,Kansas,Off-Campus University Housing,University,Female,FT,Athlete,18,M,2003,,77,26,49,3.2,1.9,2,2,3,2007,7,2010,will be a credit to your
Undeclared,Nevada,On-Campus University Housing,Other,Female,FT,Non-Athlete,17,S,2005,,126,59,10,1.9,3.1,2,1,1,2009,9,2013,
"Area, Ethnic, Cultural, Gender, and Group Studies",Indiana,Off-Campus Other,Private,Male,FT,Athelete,17,S,1998,,63,53,0,1.6,3.6,2,1,2,2002,2,2002,recommend without reservation
Communications Technologies/technicians and Support Services,Oklahoma,Off-Campus University Housing,None,Female,FT,Athlete,18,S,2001,,142,99,9,2.8,2.5,4,2,4,2005,5,2007,
Health Professions and Related Programs,South Dakota,Commuter,University,Female,FT,Athlete,23,M,1999,,70,33,6,3.1,2.3,4,2,4,2003,3,2006,
English Language and Literature/letters,Palau,Off-Campus University Housing,Private,Female,PT,Athlete,18,M,1990,,147,69,25,1,3.4,2,2,0,1994,94,1996,has a flair for organization
History,Indiana,Off-Campus Other,Other,Male,FT,Athelete,18,M,1998,,143,83,18,1.3,3.5,1,1,1,2002,2,2003,
"Agriculture, Agriculture Operations, and Related Sciences",Northern Marianas,On-Campus Dorm,Other,Male,PT,RA,22,S,2002,,95,10,68,2.3,1,2,2,2,2006,6,2009,if I can further assist
Mathematics and Statistics,Minnesota,On-Campus University Housing,None,Male,FT,RA,25,S,2005,,126,114,7,1.7,1.1,4,1,1,2009,9,2013,
Family and Consumer Sciences/human Sciences,Michigan,Commuter,Private,Female,PT,Non-Athlete,20,M,1989,,55,19,7,2.7,1,2,2,4,1993,93,1996,if you have further questions
Multi/interdisciplinary Studies,Nebraska,Commuter,Other,Female,PT,Non-Athlete,17,M,1991,,144,109,31,1.5,3.4,1,2,2,1995,95,1999,her sensitivity and concern for others
Engineering Technologies and Engineering-Related Fields,New Hampshire,Off-Campus Other,All Scholarship Types,Female,PT,Athelete,25,M,1992,,131,64,28,3.3,4,0,2,2,1996,96,1997,
Engineering,Puerto Rico,Commuter,Private,Male,FT,Non-Athlete,20,S,1993,,5,0,2,2.5,2.2,4,1,2,1997,97,1998,
Legal Professions and Studies,Virgin Islands,Off-Campus University Housing,Other,Male,PT,RA,25,M,2001,,121,52,66,3.6,1.7,1,1,0,2005,5,2009,
History,Delaware,Commuter,Other,Male,FT,Non-Athlete,20,S,2002,,34,7,19,3.9,3.5,3,2,2,2006,6,2008,
"Homeland Security, Law Enforcement, Firefighting",North Carolina,On-Campus Dorm,None,Male,PT,Athelete,21,S,2004,,64,16,8,1.8,4,1,1,2,2008,8,2010,am happy to recommend
History,Maine,Commuter,Other,Male,PT,Athelete,17,M,2002,,39,9,7,3.7,3.2,4,2,3,2006,6,2009,
Undeclared,West Virginia,Off-Campus Other,None,Male,FT,Non-Athlete,19,M,2004,,67,36,27,1.1,3.2,1,1,0,2008,8,2010,if I can further assist
Family and Consumer Sciences/human Sciences,Washington,Commuter,None,Male,PT,Athlete,21,S,1987,,77,2,62,3.8,1.1,1,1,4,1991,91,1993,
Library Science,Vermont,Commuter,Other,Male,FT,Non-Athlete,17,S,1998,,37,6,6,2.4,1.8,4,2,0,2002,2,2004,
Mechanic and Repair Technologies/technicians,Montana,Commuter,Other,Female,FT,Athelete,20,M,1992,,90,63,2,,3.6,0,2,4,1996,96,1998,
"Communication, Journalism, and Related Programs",Idaho,Off-Campus University Housing,Private,Male,FT,Athelete,24,M,1991,,90,77,11,1.2,3.8,2,2,2,1995,95,1995,has a take-charge personality
Construction Trades,Alaska,Off-Campus Other,None,Male,PT,Athlete,24,S,2005,,22,12,10,1.4,1.7,3,1,4,2009,9,2012,
Undeclared,Mississippi,Off-Campus Other,Private,Female,FT,RA,19,M,1994,,16,0,2,3.1,1.2,1,1,3,1998,98,1998,have admiration and respect for
Liberal Arts and Sciences Studies and Humanities,Guam,On-Campus Dorm,Other,Female,FT,Athlete,21,M,2004,,116,13,91,3.1,3.1,4,1,3,2008,8,2011,would be a valuable addition to any organization
Liberal Arts and Sciences Studies and Humanities,Tennessee,On-Campus University Housing,None,Female,FT,Non-Athlete,25,M,1986,,62,40,21,1.4,2.1,0,2,0,1990,90,1991,
"Business, Management, Marketing, and Related Support Services",New Hampshire,Commuter,University,Female,FT,Athelete,19,M,2001,,48,47,0,3.1,3.8,0,1,4,2005,5,2007,has worked directly under my supervision
Construction Trades,Michigan,Off-Campus Other,None,Male,FT,Athlete,25,S,1991,,98,94,0,,2.3,2,2,0,1995,95,1995,
"Agriculture, Agriculture Operations, and Related Sciences",Florida,On-Campus University Housing,Other,Male,PT,Athelete,25,S,1994,,143,142,1,3.2,4,1,1,3,1998,98,1999,is a tireless worker
Computer and Information Sciences and Support Services,New Mexico,On-Campus University Housing,None,Female,FT,Athelete,20,S,1991,,34,30,0,3.6,3.8,2,2,1,1995,95,1996,if you need additional information
Liberal Arts and Sciences Studies and Humanities,New Hampshire,Off-Campus Other,Other,Female,FT,Athelete,20,S,2001,,26,17,8,1.8,3.8,0,2,2,2005,5,2007,has worked directly under my supervision
"Homeland Security, Law Enforcement, Firefighting",Florida,On-Campus Dorm,University,Female,PT,Athelete,17,M,1999,,42,1,30,2.5,3.7,4,2,0,2003,3,2006,
Library Science,Ohio,On-Campus Dorm,None,Male,PT,Athlete,21,M,1990,,47,40,6,2.6,,1,1,2,1994,94,1997,am honored to support him as a student
Education,Rhode Island,On-Campus Dorm,Other,Male,FT,Non-Athlete,25,M,2005,,134,65,12,2.9,4,0,1,3,2009,9,2013,
Liberal Arts and Sciences Studies and Humanities,Arkansas,Off-Campus University Housing,All Scholarship Types,Male,PT,Athlete,19,S,1999,,150,48,35,2.8,2,1,1,2,2003,3,2007,comments are well thought out and clearly articulated
"Foreign Languages, Literatures, and Linguistics",North Carolina,Commuter,All Scholarship Types,Male,FT,Non-Athlete,18,S,1992,,112,27,50,2.2,3.7,2,1,3,1996,96,1999,
Engineering,Kansas,Off-Campus Other,University,Male,PT,RA,25,S,2001,,52,47,1,2.8,2.1,1,2,1,2005,5,2006,am honored to support him as a student
Mathematics and Statistics,Texas,On-Campus University Housing,None,Female,FT,Athelete,21,M,1995,,103,43,0,,3.6,2,2,0,1999,99,1999,
Human Services,Nevada,On-Campus University Housing,University,Female,FT,RA,17,S,1986,,24,1,21,1.7,3.7,4,1,4,1990,90,1991,
Family and Consumer Sciences/human Sciences,Nebraska,Off-Campus Other,All Scholarship Types,Male,FT,RA,20,M,2001,,89,58,19,3.4,2.4,0,1,3,2005,5,2005,will be a great addition to
"Foreign Languages, Literatures, and Linguistics",Minnesota,On-Campus Dorm,Other,Female,PT,Athlete,22,M,1991,,56,42,9,1.9,3.8,1,1,2,1995,95,1999,
Multi/interdisciplinary Studies,Iowa,Off-Campus University Housing,University,Female,FT,Athelete,19,S,1987,,38,35,1,2.3,,2,1,3,1991,91,1991,Self-starter
"Foreign Languages, Literatures, and Linguistics",Ohio,On-Campus University Housing,Private,Male,FT,Athlete,18,M,1988,,19,16,3,1.2,3.8,0,2,2,1992,92,1993,
Military Technologies and Applied Sciences,Michigan,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,19,S,2001,,52,49,0,3.6,3.7,4,2,2,2005,5,2007,punctual and hard working
Education,Idaho,On-Campus Dorm,All Scholarship Types,Male,FT,Athlete,22,M,2004,,111,10,57,1.9,1,4,1,1,2008,8,2008,outstanding leadership abilities
English Language and Literature/letters,All Locations,Commuter,Private,Male,FT,Non-Athlete,21,M,1998,,7,2,2,2.4,2,3,2,2,2002,2,2002,
"Agriculture, Agriculture Operations, and Related Sciences",Wisconsin,On-Campus Dorm,University,Female,FT,Athlete,22,S,1993,,55,0,2,2,1.7,3,2,2,1997,97,2000,
Legal Professions and Studies,South Carolina,On-Campus Dorm,Private,Male,PT,Athelete,22,S,1987,,101,41,50,1.6,3.8,2,1,1,1991,91,1994,if you need additional information
Human Services,Louisiana,Commuter,Private,Male,FT,RA,17,M,2004,,26,0,16,3.4,2,3,2,4,2008,8,2008,gets along well with others
Construction Trades,New York,Off-Campus University Housing,University,Male,FT,Athlete,22,S,2001,,21,11,6,1.1,1.4,4,2,0,2005,5,2007,have known Ms. Doe for
"Foreign Languages, Literatures, and Linguistics",Idaho,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,23,S,1988,,69,31,28,3.5,,4,2,3,1992,92,1996,
Military Technologies and Applied Sciences,Palau,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,25,S,2002,,40,13,1,2.8,1.3,3,1,2,2006,6,2006,her sensitivity and concern for others
Mechanic and Repair Technologies/technicians,American,Commuter,University,Male,FT,Athelete,17,S,1985,,141,25,23,1.2,3.4,1,1,4,1989,89,1990,is a tireless worker
Mathematics and Statistics,Hawaii,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,23,M,1999,,141,46,25,3.1,2.8,0,1,2,2003,3,2006,am happy to recommend
"Communication, Journalism, and Related Programs",California,On-Campus University Housing,Other,Male,FT,RA,19,M,2001,,128,33,12,2.6,2.9,1,1,0,2005,5,2009,keeps calm under pressure
English Language and Literature/letters,Massachusetts,On-Campus University Housing,Private,Female,FT,Athlete,18,M,1988,,102,61,15,1.9,2.3,3,2,1,1992,92,1995,
Computer and Information Sciences and Support Services,Utah,Off-Campus University Housing,Other,Female,FT,Non-Athlete,17,S,2004,,140,72,64,3.4,2.4,4,1,2,2008,8,2009,
"Homeland Security, Law Enforcement, Firefighting",Nebraska,On-Campus University Housing,Private,Male,FT,Non-Athlete,17,S,2000,,58,7,24,3.4,1.7,0,1,1,2004,4,2008,
Military Technologies and Applied Sciences,New York,On-Campus Dorm,Private,Female,FT,Non-Athlete,22,M,1993,,91,87,0,2.2,0.75,3,2,4,1997,97,2001,
Education,Delaware,On-Campus Dorm,None,Female,FT,RA,25,S,2002,,15,9,2,3.1,2.5,0,2,3,2006,6,2009,
Library Science,Idaho,On-Campus Dorm,University,Female,FT,RA,23,S,1994,,103,50,30,3.1,3.5,1,1,0,1998,98,1998,give my unqualified recommendation
Mathematics and Statistics,Colorado,On-Campus University Housing,University,Female,FT,Athlete,23,S,1994,,70,34,3,1.3,2.1,3,1,0,1998,98,1998,
Construction Trades,Arizona,On-Campus University Housing,None,Male,FT,RA,23,M,1989,,7,4,0,3.5,1.7,4,2,2,1993,93,1995,
Legal Professions and Studies,Nebraska,On-Campus University Housing,All Scholarship Types,Male,FT,Athelete,17,S,1998,,75,9,47,2.8,3.7,3,1,2,2002,2,2003,
Legal Professions and Studies,Ohio,Off-Campus Other,None,Male,FT,Athlete,24,S,2002,,16,3,13,4,2.6,2,1,3,2006,6,2009,
Engineering,Delaware,On-Campus University Housing,None,Female,FT,RA,22,M,1992,,42,3,12,1.6,3.1,1,2,2,1996,96,1999,
Architecture and Related Services,Puerto Rico,Off-Campus Other,Other,Male,PT,Non-Athlete,21,M,2003,,117,19,48,4,2.3,1,2,3,2007,7,2011,
Health Professions and Related Programs,Marshall Islands,Commuter,University,Male,FT,Athelete,18,S,2004,,139,139,0,2.2,3.7,3,1,2,2008,8,2011,
Engineering Technologies and Engineering-Related Fields,Delaware,On-Campus Dorm,Other,Female,PT,RA,23,M,1990,,92,76,10,3.4,2.2,1,1,1,1994,94,1994,have no reservations in
Human Services,Marshall Islands,Off-Campus Other,All Scholarship Types,Female,FT,Non-Athlete,19,M,1985,,120,14,19,2.4,,2,2,0,1989,89,1991,
"Communication, Journalism, and Related Programs",Northern Marianas,Off-Campus Other,None,Female,FT,Athlete,19,M,1988,,61,42,2,2.5,1.6,4,1,0,1992,92,1994,
Architecture and Related Services,Iowa,Off-Campus Other,None,Female,FT,Non-Athlete,17,M,1988,,63,53,1,2.5,1.9,2,1,3,1992,92,1995,writes sentence or paragraph
All Majors,Northern Marianas,Off-Campus Other,University,Female,FT,Athelete,18,S,1992,,135,4,53,1.6,3.9,2,2,1,1996,96,1999,
English Language and Literature/letters,Tennessee,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,24,M,2003,,59,52,7,2.2,2.5,1,1,0,2007,7,2007,self-motivated individual
Biological and Biomedical Sciences,Montana,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,23,S,2001,,137,75,43,3.8,1.2,2,1,3,2005,5,2006,is intelligent and ambitious
Multi/interdisciplinary Studies,California,Off-Campus Other,Other,Female,FT,Athelete,17,M,1990,,126,62,43,1.8,3.6,3,2,4,1994,94,1996,
Human Services,Kentucky,On-Campus University Housing,University,Female,PT,Athlete,21,S,1994,,17,7,10,1.9,2.6,1,1,0,1998,98,2000,
"Agriculture, Agriculture Operations, and Related Sciences",New Mexico,Commuter,None,Male,FT,Athlete,20,M,1999,,68,61,4,3.4,1.4,4,2,0,2003,3,2003,if you have further questions
Health Professions and Related Programs,Illinois,Commuter,None,Male,FT,Athlete,24,S,1992,,20,18,1,4,3.8,0,1,0,1996,96,1996,
Engineering Technologies and Engineering-Related Fields,Oregon,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,19,M,1993,,123,43,33,1.4,1.9,4,2,2,1997,97,2000,is intelligent and ambitious
"Agriculture, Agriculture Operations, and Related Sciences",North Dakota,On-Campus Dorm,All Scholarship Types,Female,FT,Athlete,18,M,1997,,102,75,23,3.8,2.6,1,1,2,2001,1,2005,
Mathematics and Statistics,New York,On-Campus Dorm,Other,Male,PT,Athelete,23,S,1987,,66,9,26,3.5,3.6,4,1,4,1991,91,1992,recommend without reservation
Mathematics and Statistics,New York,Off-Campus Other,University,Male,PT,Athlete,22,S,1989,,125,6,94,3.4,3.5,4,1,2,1993,93,1997,
Aviation,Arkansas,Off-Campus University Housing,University,Male,FT,Athelete,22,S,1989,,49,13,33,2.5,3.5,1,1,3,1993,93,1993,
Biological and Biomedical Sciences,Kansas,On-Campus Dorm,Other,Female,PT,Athlete,18,S,1996,,6,6,0,2.2,2.7,2,1,4,2000,0,2001,in the past two years
Communications Technologies/technicians and Support Services,New Jersey,On-Campus University Housing,University,Male,PT,Athelete,21,M,1992,,102,29,60,3,,2,2,1,1996,96,1999,
All Majors,West Virginia,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,22,S,2000,,85,37,31,3.4,3.2,4,2,3,2004,4,2008,
Military Technologies and Applied Sciences,Wyoming,Off-Campus Other,University,Female,FT,Non-Athlete,17,S,1985,,45,38,4,3.7,1.8,2,1,3,1989,89,1993,writes sentence or paragraph
Computer and Information Sciences and Support Services,Puerto Rico,On-Campus University Housing,University,Male,PT,RA,22,S,1997,,46,10,15,1.6,1.8,3,2,0,2001,1,2001,
Military Technologies and Applied Sciences,Wisconsin,On-Campus Dorm,University,Female,FT,Athelete,19,S,1999,,25,13,0,1.6,4,1,1,4,2003,3,2007,
