Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Engineering,Marshall Islands,On-Campus Dorm,None,Male,FT,All,25,M,2002,,84,23,50,3.7,2.7,0,2,1,2006,6,2008,,28,UnSure,no,2,Yes,Yes
Library Science,Micronesia,Off-Campus University Housing,Private,Female,PT,RA,17,M,1991,,92,30,38,,1.7,2,2,3,1995,95,1996,,21,UnSure,no,3,No comment,no
History,Marshall Islands,Off-Campus University Housing,None,Female,PT,Non-Athlete,20,S,2001,,98,73,6,1.5,3.5,0,2,3,2005,5,2008,,20,Yes,,3,Yes,
Military Technologies and Applied Sciences,Virgin Islands,On-Campus Dorm,University,Female,FT,Athelete,25,M,2001,,46,0,28,1.2,3.4,2,1,2,2005,5,2005,in the past two years,27,Yes,No comment,3,Yes,No comment
Library Science,Rhode Island,Off-Campus Other,University,Female,FT,Athelete,17,M,2004,,58,14,40,1.6,4,0,2,1,2008,8,2012,give my unqualified recommendation,21,Yes,No comment,2,Yes,No comment
Agriculture- Agriculture Operations- and Related Sciences,Texas,On-Campus University Housing,None,Male,PT,Non-Athlete,24,S,1992,,122,105,15,1.8,1.9,2,1,1,1996,96,1998,is intelligent and ambitious,25,Yes,no,3,No comment,Yes
Aviation,Virginia,Off-Campus University Housing,Private,Male,FT,All,21,M,1987,,36,4,21,3,2.2,2,1,0,1991,91,1991,,22,UnSure,Yes,2,No comment,Yes
Health Professions and Related Programs,Missouri,On-Campus University Housing,None,Female,PT,All,24,S,2004,,69,5,30,1.7,1,1,1,0,2008,8,2009,has been a pleasure to supervise,27,UnSure,no,1,No comment,no
Computer and Information Sciences and Support Services,Indiana,Commuter,Private,Male,FT,Athelete,25,M,2002,,29,22,1,1.5,,0,1,1,2006,6,2008,,26,Yes,no,3,Yes,Yes
Undeclared,Virgin Islands,Commuter,Other,Male,FT,All,25,M,1993,,140,12,118,3.9,2.3,2,2,1,1997,97,1998,is intelligent and ambitious,25,UnSure,No comment,1,Yes,No comment
Liberal Arts and Sciences Studies and Humanities,Rhode Island,Off-Campus Other,Other,Female,FT,Non-Athlete,23,S,1988,,147,97,42,2.2,,0,2,2,1992,92,1992,,26,Yes,No comment,2,no,no
Mechanic and Repair Technologies/technicians,Micronesia,Commuter,None,Male,FT,Athelete,22,S,2001,,120,61,1,3,3.8,3,2,3,2005,5,2008,,26,Yes,No comment,1,Yes,no
Mathematics and Statistics,Maine,On-Campus University Housing,Other,Male,FT,Non-Athlete,24,S,2005,,126,96,7,1.4,1.6,3,1,2,2009,9,2011,self-motivated individual,24,Yes,no,2,Yes,No comment
Agriculture- Agriculture Operations- and Related Sciences,Dist. of Columbia,On-Campus University Housing,None,Male,PT,RA,17,S,1995,,141,65,7,2.4,3.9,0,2,0,1999,99,2003,,17,Yes,,2,Yes,
Computer and Information Sciences and Support Services,Mississippi,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,19,M,1986,,43,30,3,3.4,2.2,1,2,2,1990,90,1993,,22,UnSure,No comment,1,Yes,No comment
Military Technologies and Applied Sciences,New Jersey,Off-Campus University Housing,All Scholarship Types,Female,PT,RA,23,M,1997,,44,43,0,3.8,2.4,4,2,3,2001,1,2002,,24,UnSure,no,1,No comment,Yes
Library Science,Iowa,Off-Campus University Housing,All Scholarship Types,Male,FT,RA,20,S,1986,,4,2,1,2,0.75,2,1,4,1990,90,1994,,21,Yes,Yes,2,Yes,no
Computer and Information Sciences and Support Services,Puerto Rico,Off-Campus University Housing,University,Female,FT,Non-Athlete,25,S,2003,,148,49,24,1.6,1.8,4,1,4,2007,7,2011,is a tireless worker,28,Yes,No comment,1,no,Yes
Communications Technologies/technicians and Support Services,Montana,Off-Campus University Housing,University,Female,PT,RA,19,S,1999,,33,22,5,1.3,1.3,0,1,1,2003,3,2005,broad range of skills,21,Yes,Yes,3,no,no
Architecture and Related Services,Texas,Commuter,Private,Female,FT,Athelete,17,M,1990,,16,16,0,3.2,3.4,0,1,2,1994,94,1996,punctual and hard working,18,Yes,,1,No comment,
Education,Oregon,On-Campus Dorm,University,Female,FT,All,23,M,1994,,117,9,69,2,3.5,1,1,2,1998,98,1999,,24,UnSure,No comment,3,No comment,No comment
Construction Trades,Micronesia,On-Campus University Housing,All Scholarship Types,Female,FT,Athelete,20,M,1985,,15,10,4,0.75,3.8,0,1,2,1989,89,1991,,23,Yes,No comment,2,no,Yes
Mechanic and Repair Technologies/technicians,Massachusetts,Off-Campus Other,Private,Female,PT,Athelete,18,S,2002,,122,67,28,2.3,3.5,0,1,3,2006,6,2006,,18,UnSure,,3,no,
Mathematics and Statistics,South Carolina,On-Campus Dorm,Other,Female,FT,Non-Athlete,22,S,2004,,29,10,17,1.1,2.5,1,1,3,2008,8,2011,Demonstraates leadership,25,Yes,No comment,3,No comment,no
Area- Ethnic- Cultural- Gender- and Group Studies,Maryland,Off-Campus University Housing,None,Female,PT,All,19,S,1996,,121,62,43,3.5,3.1,1,1,0,2000,0,2002,,23,Yes,No comment,3,no,no
Communications Technologies/technicians and Support Services,New Hampshire,On-Campus Dorm,Private,Female,FT,RA,25,S,1998,,99,78,21,3.9,2.5,2,2,4,2002,2,2004,,27,Yes,No comment,2,no,no
English Language and Literature/letters,Maryland,On-Campus Dorm,All Scholarship Types,Male,FT,Athelete,18,M,2005,,116,29,46,3.6,3.5,3,2,3,2009,9,2009,,19,Yes,,2,No comment,
Family and Consumer Sciences/human Sciences,Georgia,Off-Campus University Housing,University,Female,FT,RA,25,S,1990,,141,115,19,3.8,3.6,3,2,1,1994,94,1995,if you have further questions,28,UnSure,No comment,2,no,Yes
Mathematics and Statistics,Louisiana,Off-Campus Other,Private,Male,FT,All,17,S,2003,,114,110,2,2.4,2.6,4,1,1,2007,7,2007,,18,Yes,,2,Yes,
Biological and Biomedical Sciences,Illinois,Commuter,Other,Female,FT,All,24,M,2005,,145,134,7,0.75,2.2,3,1,3,2009,9,2009,,25,UnSure,Yes,2,Yes,No comment
Architecture and Related Services,American,On-Campus University Housing,None,Female,FT,RA,17,M,1996,,110,89,20,1.1,3.5,0,1,0,2000,0,2000,,19,Yes,,2,no,
Communications Technologies/technicians and Support Services,Connecticut,Off-Campus Other,None,Female,FT,Non-Athlete,20,M,1988,,13,2,10,,2.3,3,2,2,1992,92,1995,would be a valuable addition to any organization,24,Yes,Yes,2,no,no
Liberal Arts and Sciences Studies and Humanities,Puerto Rico,Off-Campus University Housing,Other,Male,FT,Non-Athlete,18,M,1996,,39,37,1,1.8,1.2,3,1,0,2000,0,2000,,22,UnSure,Yes,3,No comment,Yes
Aviation,Virginia,On-Campus Dorm,Private,Female,FT,Non-Athlete,25,M,1988,,82,73,1,3.5,3.2,2,2,1,1992,92,1995,,28,Yes,no,3,No comment,Yes
Undeclared,Ohio,Commuter,None,Female,PT,Non-Athlete,25,M,1995,,75,40,11,2.7,3.7,3,2,2,1999,99,2003,,29,UnSure,no,2,no,no
Mechanic and Repair Technologies/technicians,Mississippi,On-Campus Dorm,None,Female,PT,Athelete,22,S,2000,,68,11,40,1.1,3.8,1,1,3,2004,4,2004,careful attention to detail,22,Yes,No comment,2,no,Yes
Communications Technologies/technicians and Support Services,Georgia,Off-Campus Other,All Scholarship Types,Female,FT,All,20,S,2005,,128,123,1,3.6,1.5,1,1,3,2009,9,2011,works well with oouthers,22,UnSure,No comment,2,No comment,Yes
Foreign Languages Literatures and Linguistics,Wyoming,Off-Campus Other,Private,Male,FT,All,19,S,1996,,88,4,2,2.7,2.7,4,1,3,2000,0,2002,,23,Yes,Yes,1,Yes,No comment
Architecture and Related Services,Michigan,Off-Campus Other,None,Male,PT,All,19,M,1999,,106,0,52,1.3,2.7,1,2,4,2003,3,2007,hope this information proves helpful,21,Yes,no,1,Yes,Yes
Aviation,Vermont,Off-Campus Other,Private,Female,FT,All,22,M,1989,,76,57,6,3.1,1.9,3,1,1,1993,93,1994,,22,Yes,no,1,no,Yes
Computer and Information Sciences and Support Services,Kentucky,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,18,S,2004,,104,82,21,1.4,3.9,4,2,3,2008,8,2011,if I can further assist,20,UnSure,,3,No comment,
Engineering Technologies and Engineering-Related Fields,Maine,Off-Campus Other,Private,Male,FT,All,24,M,1986,,142,73,22,2.1,0.75,2,2,3,1990,90,1992,can offer only the highest recommendation for,28,Yes,no,1,Yes,no
Engineering Technologies and Engineering-Related Fields,Mississippi,On-Campus University Housing,None,Male,PT,RA,18,S,1986,,145,77,14,4,3.9,2,2,2,1990,90,1990,willing to take on new responsibilities,21,Yes,Yes,1,Yes,no
Foreign Languages Literatures and Linguistics,Tennessee,On-Campus University Housing,Other,Male,FT,All,25,M,1985,,83,19,52,1,3.3,4,2,1,1989,89,1992,,29,Yes,No comment,3,Yes,No comment
Legal Professions and Studies,Hawaii,Off-Campus University Housing,All Scholarship Types,Male,FT,All,24,S,1986,,9,3,4,2.6,2.4,2,1,2,1990,90,1992,,24,UnSure,No comment,1,No comment,No comment
Family and Consumer Sciences/human Sciences,Nevada,On-Campus Dorm,University,Female,PT,Non-Athlete,18,S,1985,,29,6,15,2.9,2.6,4,2,1,1989,89,1991,has always proved satisfactory,20,Yes,,2,No comment,
Military Technologies and Applied Sciences,Michigan,Off-Campus Other,University,Female,FT,Athelete,23,S,1985,,81,79,2,,4,3,1,1,1989,89,1993,,27,UnSure,Yes,2,Yes,No comment
Education,Virgin Islands,Commuter,None,Male,FT,RA,22,M,1998,,114,51,29,3.3,3,3,1,0,2002,2,2004,,25,Yes,no,3,No comment,No comment
Communications Technologies/technicians and Support Services,Ohio,Off-Campus Other,None,Female,FT,Non-Athlete,25,S,1987,,9,3,2,1.2,1.9,4,2,2,1991,91,1995,is innovative and creative,29,Yes,Yes,1,No comment,Yes
Library Science,Guam,Commuter,All Scholarship Types,Male,PT,All,21,S,2002,,115,97,7,2.7,2.1,2,1,1,2006,6,2008,,21,UnSure,Yes,3,Yes,Yes
Architecture and Related Services,Colorado,Off-Campus University Housing,Private,Male,FT,RA,19,M,1985,,21,10,6,2.9,3.7,3,1,4,1989,89,1992,,23,Yes,No comment,2,No comment,Yes
Biological and Biomedical Sciences,Washington,On-Campus University Housing,Private,Female,PT,Athelete,17,S,1994,,27,26,1,,3.5,1,2,1,1998,98,2002,broad range of skills,19,Yes,,1,Yes,
Undeclared,Iowa,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,17,M,1994,,35,10,7,0.75,3.7,4,1,4,1998,98,2002,,18,Yes,,1,Yes,
Military Technologies and Applied Sciences,Georgia,Off-Campus Other,None,Female,FT,Athelete,22,M,1990,,4,4,0,3.5,4,3,1,4,1994,94,1995,Builds on knowledge,22,Yes,no,2,No comment,Yes
Foreign Languages Literatures and Linguistics,Marshall Islands,Commuter,All Scholarship Types,Female,FT,RA,22,S,2005,,145,92,23,2.8,2.1,1,1,4,2009,9,2011,will be a credit to your,24,UnSure,no,3,Yes,No comment
History,Massachusetts,Off-Campus Other,Private,Male,PT,RA,24,S,2003,,70,13,53,2.5,2.3,0,2,4,2007,7,2011,is innovative and creative,24,UnSure,Yes,1,Yes,no
Engineering,Mississippi,Off-Campus Other,University,Female,FT,Non-Athlete,24,S,1985,,130,58,31,1,1.7,2,1,1,1989,89,1992,,24,Yes,Yes,3,Yes,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,North Carolina,On-Campus Dorm,University,Male,PT,Non-Athlete,22,M,1995,,64,25,20,1.5,2.2,1,2,3,1999,99,2001,am delighted to be called upon,26,Yes,No comment,1,No comment,no
Engineering,Michigan,On-Campus Dorm,Other,Male,FT,Athelete,24,M,1991,,36,26,8,2.5,3.6,2,1,2,1995,95,1999,,27,Yes,Yes,2,Yes,Yes
Architecture and Related Services,Massachusetts,Off-Campus Other,All Scholarship Types,Male,FT,All,19,S,1988,,33,9,8,3.6,1.5,2,2,4,1992,92,1995,works efficiently and effectively,22,UnSure,no,3,Yes,no
Family and Consumer Sciences/human Sciences,New Hampshire,On-Campus University Housing,Other,Male,PT,RA,20,M,1986,,86,65,3,1.8,1.8,3,1,4,1990,90,1991,have been his supervisor since,23,Yes,Yes,3,Yes,no
Engineering Technologies and Engineering-Related Fields,North Carolina,On-Campus University Housing,Other,Male,PT,Non-Athlete,20,S,1996,,147,51,90,3.8,2.6,4,1,4,2000,0,2004,is a pleasure to recommend,22,UnSure,No comment,2,No comment,no
Communication Journalism and Related Programs,Hawaii,Commuter,None,Female,FT,All,23,M,1991,,127,53,36,3.7,2.1,3,2,0,1995,95,1997,,27,Yes,Yes,1,Yes,No comment
Agriculture- Agriculture Operations- and Related Sciences,Wisconsin,On-Campus Dorm,University,Male,FT,Non-Athlete,25,M,2002,,113,100,9,1.5,1.7,1,1,1,2006,6,2009,Hard working- hard worker,27,Yes,No comment,1,Yes,no
Architecture and Related Services,Nevada,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,21,S,1998,,114,0,71,2.8,3.9,4,2,0,2002,2,2005,,25,UnSure,No comment,1,No comment,Yes
Library Science,Kansas,Off-Campus University Housing,University,Female,FT,All,18,M,2003,,77,26,49,3.2,1.9,2,2,3,2007,7,2010,will be a credit to your,21,Yes,Yes,1,no,No comment
Undeclared,Nevada,On-Campus University Housing,Other,Female,FT,Non-Athlete,17,S,2005,,126,59,10,1.9,3.1,2,1,1,2009,9,2013,,18,Yes,,2,No comment,
Area- Ethnic- Cultural- Gender- and Group Studies,Indiana,Off-Campus Other,Private,Male,FT,Athelete,17,S,1998,,63,53,0,1.6,3.6,2,1,2,2002,2,2002,recommend without reservation,17,UnSure,,3,Yes,
Communications Technologies/technicians and Support Services,Oklahoma,Off-Campus University Housing,None,Female,FT,All,18,S,2001,,142,99,9,2.8,2.5,4,2,4,2005,5,2007,,20,Yes,,1,no,
Health Professions and Related Programs,South Dakota,Commuter,University,Female,FT,All,23,M,1999,,70,33,6,3.1,2.3,4,2,4,2003,3,2006,,27,Yes,no,2,no,No comment
English Language and Literature/letters,Palau,Off-Campus University Housing,Private,Female,PT,All,18,M,1990,,147,69,25,1,3.4,2,2,0,1994,94,1996,has a flair for organization,20,Yes,,1,Yes,
History,Indiana,Off-Campus Other,Other,Male,FT,Athelete,18,M,1998,,143,83,18,1.3,3.5,1,1,1,2002,2,2003,,18,Yes,,3,Yes,
Agriculture- Agriculture Operations- and Related Sciences,Northern Marianas,On-Campus Dorm,Other,Male,PT,RA,22,S,2002,,95,10,68,2.3,1,2,2,2,2006,6,2009,if I can further assist,22,UnSure,no,3,Yes,No comment
Mathematics and Statistics,Minnesota,On-Campus University Housing,None,Male,FT,RA,25,S,2005,,126,114,7,1.7,1.1,4,1,1,2009,9,2013,,29,Yes,No comment,1,Yes,no
Family and Consumer Sciences/human Sciences,Michigan,Commuter,Private,Female,PT,Non-Athlete,20,M,1989,,55,19,7,2.7,1,2,2,4,1993,93,1996,if you have further questions,24,Yes,no,1,no,no
Multi/interdisciplinary Studies,Nebraska,Commuter,Other,Female,PT,Non-Athlete,17,M,1991,,144,109,31,1.5,3.4,1,2,2,1995,95,1999,her sensitivity and concern for others,18,Yes,,3,No comment,
Engineering Technologies and Engineering-Related Fields,New Hampshire,Off-Campus Other,All Scholarship Types,Female,PT,Athelete,25,M,1992,,131,64,28,3.3,4,0,2,2,1996,96,1997,,27,Yes,no,3,No comment,Yes
Engineering,Puerto Rico,Commuter,Private,Male,FT,Non-Athlete,20,S,1993,,5,0,2,2.5,2.2,4,1,2,1997,97,1998,,20,UnSure,,2,Yes,
Legal Professions and Studies,Virgin Islands,Off-Campus University Housing,Other,Male,PT,RA,25,M,2001,,121,52,66,3.6,1.7,1,1,0,2005,5,2009,,27,UnSure,no,3,No comment,No comment
History,Delaware,Commuter,Other,Male,FT,Non-Athlete,20,S,2002,,34,7,19,3.9,3.5,3,2,2,2006,6,2008,,24,UnSure,No comment,1,Yes,Yes
Homeland Security- Law Enforcement- Firefighting,North Carolina,On-Campus Dorm,None,Male,PT,Athelete,21,S,2004,,64,16,8,1.8,4,1,1,2,2008,8,2010,am happy to recommend,23,UnSure,No comment,1,No comment,No comment
History,Maine,Commuter,Other,Male,PT,Athelete,17,M,2002,,39,9,7,3.7,3.2,4,2,3,2006,6,2009,,19,UnSure,,3,Yes,
Undeclared,West Virginia,Off-Campus Other,None,Male,FT,Non-Athlete,19,M,2004,,67,36,27,1.1,3.2,1,1,0,2008,8,2010,if I can further assist,21,Yes,No comment,2,Yes,No comment
Family and Consumer Sciences/human Sciences,Washington,Commuter,None,Male,PT,All,21,S,1987,,77,2,62,3.8,1.1,1,1,4,1991,91,1993,,24,UnSure,no,3,Yes,No comment
Library Science,Vermont,Commuter,Other,Male,FT,Non-Athlete,17,S,1998,,37,6,6,2.4,1.8,4,2,0,2002,2,2004,,19,UnSure,,1,Yes,
Mechanic and Repair Technologies/technicians,Montana,Commuter,Other,Female,FT,Athelete,20,M,1992,,90,63,2,,3.6,0,2,4,1996,96,1998,,23,Yes,Yes,3,no,No comment
Communication Journalism and Related Programs,Idaho,Off-Campus University Housing,Private,Male,FT,Athelete,24,M,1991,,90,77,11,1.2,3.8,2,2,2,1995,95,1995,has a take-charge personality,25,UnSure,No comment,3,Yes,no
Construction Trades,Alaska,Off-Campus Other,None,Male,PT,All,24,S,2005,,22,12,10,1.4,1.7,3,1,4,2009,9,2012,,26,Yes,Yes,2,No comment,no
Undeclared,Mississippi,Off-Campus Other,Private,Female,FT,RA,19,M,1994,,16,0,2,3.1,1.2,1,1,3,1998,98,1998,have admiration and respect for,23,UnSure,Yes,1,Yes,No comment
Liberal Arts and Sciences Studies and Humanities,Guam,On-Campus Dorm,Other,Female,FT,All,21,M,2004,,116,13,91,3.1,3.1,4,1,3,2008,8,2011,would be a valuable addition to any organization,24,Yes,No comment,1,No comment,no
Liberal Arts and Sciences Studies and Humanities,Tennessee,On-Campus University Housing,None,Female,FT,Non-Athlete,25,M,1986,,62,40,21,1.4,2.1,0,2,0,1990,90,1991,,27,UnSure,no,2,no,Yes
Business Management Marketing and Related Support Services,New Hampshire,Commuter,University,Female,FT,Athelete,19,M,2001,,48,47,0,3.1,3.8,0,1,4,2005,5,2007,has worked directly under my supervision,22,UnSure,No comment,1,no,Yes
Construction Trades,Michigan,Off-Campus Other,None,Male,FT,All,25,S,1991,,98,94,0,,2.3,2,2,0,1995,95,1995,,28,Yes,no,3,Yes,No comment
Agriculture- Agriculture Operations- and Related Sciences,Florida,On-Campus University Housing,Other,Male,PT,Athelete,25,S,1994,,143,142,1,3.2,4,1,1,3,1998,98,1999,is a tireless worker,26,Yes,no,1,Yes,No comment
Computer and Information Sciences and Support Services,New Mexico,On-Campus University Housing,None,Female,FT,Athelete,20,S,1991,,34,30,0,3.6,3.8,2,2,1,1995,95,1996,if you need additional information,24,Yes,Yes,3,no,no
Liberal Arts and Sciences Studies and Humanities,New Hampshire,Off-Campus Other,Other,Female,FT,Athelete,20,S,2001,,26,17,8,1.8,3.8,0,2,2,2005,5,2007,has worked directly under my supervision,24,Yes,No comment,3,no,no
Homeland Security- Law Enforcement- Firefighting,Florida,On-Campus Dorm,University,Female,PT,Athelete,17,M,1999,,42,1,30,2.5,3.7,4,2,0,2003,3,2006,,21,Yes,No comment,2,no,no
Library Science,Ohio,On-Campus Dorm,None,Male,PT,All,21,M,1990,,47,40,6,2.6,,1,1,2,1994,94,1997,am honored to support him as a student,24,Yes,Yes,2,No comment,no
Education,Rhode Island,On-Campus Dorm,Other,Male,FT,Non-Athlete,25,M,2005,,134,65,12,2.9,4,0,1,3,2009,9,2013,,27,Yes,no,1,Yes,no
Liberal Arts and Sciences Studies and Humanities,Arkansas,Off-Campus University Housing,All Scholarship Types,Male,PT,All,19,S,1999,,150,48,35,2.8,2,1,1,2,2003,3,2007,comments are well thought out and clearly articulated,20,Yes,,3,Yes,
Foreign Languages Literatures and Linguistics,North Carolina,Commuter,All Scholarship Types,Male,FT,Non-Athlete,18,S,1992,,112,27,50,2.2,3.7,2,1,3,1996,96,1999,,19,Yes,,3,Yes,
Engineering,Kansas,Off-Campus Other,University,Male,PT,RA,25,S,2001,,52,47,1,2.8,2.1,1,2,1,2005,5,2006,am honored to support him as a student,28,UnSure,Yes,2,Yes,Yes
Mathematics and Statistics,Texas,On-Campus University Housing,None,Female,FT,Athelete,21,M,1995,,103,43,0,,3.6,2,2,0,1999,99,1999,,24,Yes,No comment,3,Yes,no
Human Services,Nevada,On-Campus University Housing,University,Female,FT,RA,17,S,1986,,24,1,21,1.7,3.7,4,1,4,1990,90,1991,,19,Yes,,1,no,
Family and Consumer Sciences/human Sciences,Nebraska,Off-Campus Other,All Scholarship Types,Male,FT,RA,20,M,2001,,89,58,19,3.4,2.4,0,1,3,2005,5,2005,will be a great addition to,24,Yes,No comment,3,Yes,Yes
Foreign Languages Literatures and Linguistics,Minnesota,On-Campus Dorm,Other,Female,PT,All,22,M,1991,,56,42,9,1.9,3.8,1,1,2,1995,95,1999,,24,Yes,No comment,3,no,Yes
Multi/interdisciplinary Studies,Iowa,Off-Campus University Housing,University,Female,FT,Athelete,19,S,1987,,38,35,1,2.3,,2,1,3,1991,91,1991,Self-starter,20,Yes,,2,Yes,
Foreign Languages Literatures and Linguistics,Ohio,On-Campus University Housing,Private,Male,FT,All,18,M,1988,,19,16,3,1.2,3.8,0,2,2,1992,92,1993,,19,Yes,,3,Yes,
Military Technologies and Applied Sciences,Michigan,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,19,S,2001,,52,49,0,3.6,3.7,4,2,2,2005,5,2007,punctual and hard working,22,UnSure,Yes,3,Yes,no
Education,Idaho,On-Campus Dorm,All Scholarship Types,Male,FT,All,22,M,2004,,111,10,57,1.9,1,4,1,1,2008,8,2008,outstanding leadership abilities,22,Yes,Yes,3,Yes,no
English Language and Literature/letters,All Locations,Commuter,Private,Male,FT,Non-Athlete,21,M,1998,,7,2,2,2.4,2,3,2,2,2002,2,2002,,22,UnSure,no,1,No comment,Yes
Agriculture- Agriculture Operations- and Related Sciences,Wisconsin,On-Campus Dorm,University,Female,FT,All,22,S,1993,,55,0,2,2,1.7,3,2,2,1997,97,2000,,26,Yes,Yes,3,Yes,No comment
Legal Professions and Studies,South Carolina,On-Campus Dorm,Private,Male,PT,Athelete,22,S,1987,,101,41,50,1.6,3.8,2,1,1,1991,91,1994,if you need additional information,23,Yes,No comment,1,Yes,no
Human Services,Louisiana,Commuter,Private,Male,FT,RA,17,M,2004,,26,0,16,3.4,2,3,2,4,2008,8,2008,gets along well with others,17,UnSure,,2,Yes,
Construction Trades,New York,Off-Campus University Housing,University,Male,FT,All,22,S,2001,,21,11,6,1.1,1.4,4,2,0,2005,5,2007,have known Ms. Doe for,26,UnSure,Yes,1,Yes,no
Foreign Languages Literatures and Linguistics,Idaho,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,23,S,1988,,69,31,28,3.5,,4,2,3,1992,92,1996,,27,UnSure,no,1,Yes,Yes
